d,OPT_M,lossMargin,SVDB
2, 0.015683, 1.379087,230.126613
3, 0.023080, 1.619525,3491.003374
4, 0.030788, 2.345584,25532.686630
5, 0.043808, 3.247527,116518.173424
6, 0.067554, 4.278231,394071.613109
7, 0.096675, 5.438845,1087710.642146
8, 0.173486, 6.725923,2594606.155293
9, 0.343486, 8.126836,5546613.430076
10, 0.821781, 9.628754,10888529.551921
11, 1.587972, 11.223306,19967540.076822
12, 4.901446, 12.904233,34633823.830311
13, 14.813531, 14.666626,57352289.305328
14, 51.120961, 16.506380,91325419.693727
15, 226.947668, 18.423259,140627206.436597
